🧖	person in steamy room	person in steamy room sauna sauna_person people & body	11.0
🧖‍♂️	man in steamy room	man in steamy room sauna sauna_man people & body	11.0
🧖‍♀️	woman in steamy room	woman in steamy room sauna sauna_woman people & body	11.0
🧗	person climbing	person climbing bouldering people & body	11.0
🧗‍♂️	man climbing	man climbing climbing_man bouldering people & body	11.0
🧗‍♀️	woman climbing	woman climbing climbing_woman bouldering people & body	11.0
🤺	person fencing	person fencing person_fencing people & body	9.0
🏇	horse racing	horse racing horse_racing people & body	6.0
⛷️	skier	skier people & body	5.2
🏂	snowboarder	snowboarder people & body	6.0
🏌️	person golfing	person golfing people & body	7.0
🏌️‍♂️	man golfing	man golfing golfing_man people & body	11.0
🏌️‍♀️	woman golfing	woman golfing golfing_woman people & body	0
🏄	person surfing	person surfing surfer people & body	6.0
🏄‍♂️	man surfing	man surfing surfing_man people & body	11.0
🏄‍♀️	woman surfing	woman surfing surfing_woman people & body	7.0
🚣	person rowing boat	person rowing boat rowboat people & body	6.0
🚣‍♂️	man rowing boat	man rowing boat rowing_man people & body	11.0
🚣‍♀️	woman rowing boat	woman rowing boat rowing_woman people & body	6.0
🏊	person swimming	person swimming swimmer people & body	6.0
🏊‍♂️	man swimming	man swimming swimming_man people & body	11.0
🏊‍♀️	woman swimming	woman swimming swimming_woman people & body	6.0
⛹️	person bouncing ball	person bouncing ball bouncing_ball_person basketball people & body	5.2
⛹️‍♂️	man bouncing ball	man bouncing ball bouncing_ball_man basketball basketball_man people & body	11.0
⛹️‍♀️	woman bouncing ball	woman bouncing ball bouncing_ball_woman basketball basketball_woman people & body	7.0
🏋️	person lifting weights	person lifting weights weight weight_lifting gym workout people & body	7.0
🏋️‍♂️	man lifting weights	man lifting weights weight weight_lifting_man gym workout people & body	11.0
🏋️‍♀️	woman lifting weights	woman lifting weights weight weight_lifting_woman gym workout people & body	6.0
🚴	person biking	person biking bicyclist people & body	6.0
🚴‍♂️	man biking	man biking biking_man people & body	11.0
🚴‍♀️	woman biking	woman biking biking_woman people & body	6.0
🚵	person mountain biking	person mountain biking bicyclist mountain_bicyclist people & body	6.0
🚵‍♂️	man mountain biking	man mountain biking mountain_biking_man people & body	11.0
🚵‍♀️	woman mountain biking	woman mountain biking mountain_biking_woman people & body	6.0
🤸	person cartwheeling	person cartwheeling people & body	11.0
🤸‍♂️	man cartwheeling	man cartwheeling man_cartwheeling people & body	0
🤸‍♀️	woman cartwheeling	woman cartwheeling woman_cartwheeling people & body	0
🤼	people wrestling	people wrestling & body	11.0
🤼‍♂️	men wrestling	men wrestling men_wrestling people & body	9.0
🤼‍♀️	women wrestling	women wrestling women_wrestling people & body	9.0
🤽	person playing water polo	person playing water polo water_polo people & body	11.0
🤽‍♂️	man playing water polo	man playing water polo man_playing_water_polo people & body	9.0
🤽‍♀️	woman playing water polo	woman playing water polo woman_playing_water_polo people & body	9.0
🤾	person playing handball	person playing handball handball_person people & body	11.0
🤾‍♂️	man playing handball	man playing handball man_playing_handball people & body	9.0
🤾‍♀️	woman playing handball	woman playing handball woman_playing_handball people & body	9.0
🤹	person juggling	person juggling juggling_person people & body	11.0
🤹‍♂️	man juggling	man juggling man_juggling people & body	9.0
🤹‍♀️	woman juggling	woman juggling woman_juggling people & body	9.0
🧘	person in lotus position	person in lotus position lotus_position meditation people & body	11.0
🧘‍♂️	man in lotus position	man in lotus position lotus_position_man meditation people & body	11.0
🧘‍♀️	woman in lotus position	woman in lotus position lotus_position_woman meditation people & body	11.0
🛀	person taking bath	person taking bath shower people & body	6.0
🛌	person in bed	person in bed sleeping sleeping_bed people & body	7.0
🧑‍🤝‍🧑	people holding hands	people holding hands people_holding_hands couple date & body	12.0
👭	women holding hands	women holding hands two two_women_holding_hands couple date people & body	6.0
👫	woman and man holding hands	woman and man holding hands couple date people & body	6.0
👬	men holding hands	men holding hands two two_men_holding_hands couple date people & body	6.0
💏	kiss	kiss couplekiss people & body	6.0
👩‍❤️‍💋‍👨	kiss: woman, man	kiss: woman, man couplekiss woman couplekiss_man_woman people & body	11.0
👨‍❤️‍💋‍👨	kiss: man, man	kiss: man, man couplekiss couplekiss_man_man people & body	6.0
👩‍❤️‍💋‍👩	kiss: woman, woman	kiss: woman, woman couplekiss couplekiss_woman_woman people & body	6.0
💑	couple with heart	couple with heart couple_with_heart people & body	6.0
👩‍❤️‍👨	couple with heart: woman, man	couple with heart: woman, man heart woman couple_with_heart_woman_man people & body	11.0
👨‍❤️‍👨	couple with heart: man, man	couple with heart: man, man heart couple_with_heart_man_man people & body	6.0
👩‍❤️‍👩	couple with heart: woman, woman	couple with heart: woman, woman heart couple_with_heart_woman_woman people & body	6.0
👪	family	family home parents child people & body	6.0
👨‍👩‍👦	family: man, woman, boy	family: man, woman, boy family man woman family_man_woman_boy people & body	11.0
👨‍👩‍👧	family: man, woman, girl	family: man, woman, girl family man woman family_man_woman_girl people & body	6.0
👨‍👩‍👧‍👦	family: man, woman, girl, boy	family: man, woman, girl, boy family man woman girl family_man_woman_girl_boy people & body	6.0
👨‍👩‍👦‍👦	family: man, woman, boy, boy	family: man, woman, boy, boy family man woman family_man_woman_boy_boy people & body	6.0
👨‍👩‍👧‍👧	family: man, woman, girl, girl	family: man, woman, girl, girl family man woman family_man_woman_girl_girl people & body	6.0
👨‍👨‍👦	family: man, man, boy	family: man, boy family man family_man_man_boy people & body	6.0
👨‍👨‍👧	family: man, man, girl	family: man, girl family man family_man_man_girl people & body	6.0
👨‍👨‍👧‍👦	family: man, man, girl, boy	family: man, girl, boy family man girl family_man_man_girl_boy people & body	6.0
👨‍👨‍👦‍👦	family: man, man, boy, boy	family: man, boy, boy family man family_man_man_boy_boy people & body	6.0
👨‍👨‍👧‍👧	family: man, man, girl, girl	family: man, girl, girl family man family_man_man_girl_girl people & body	6.0
👩‍👩‍👦	family: woman, woman, boy	family: woman, boy family woman family_woman_woman_boy people & body	6.0
👩‍👩‍👧	family: woman, woman, girl	family: woman, girl family woman family_woman_woman_girl people & body	6.0
👩‍👩‍👧‍👦	family: woman, woman, girl, boy	family: woman, girl, boy family woman girl family_woman_woman_girl_boy people & body	6.0
👩‍👩‍👦‍👦	family: woman, woman, boy, boy	family: woman, boy, boy family woman family_woman_woman_boy_boy people & body	6.0
👩‍👩‍👧‍👧	family: woman, woman, girl, girl	family: woman, girl, girl family woman family_woman_woman_girl_girl people & body	6.0
👨‍👦	family: man, boy	family: man, boy family man family_man_boy people & body	6.0
👨‍👦‍👦	family: man, boy, boy	family: man, boy, boy family man family_man_boy_boy people & body	6.0
👨‍👧	family: man, girl	family: man, girl family man family_man_girl people & body	6.0
👨‍👧‍👦	family: man, girl, boy	family: man, girl, boy family man girl family_man_girl_boy people & body	6.0
👨‍👧‍👧	family: man, girl, girl	family: man, girl, girl family man family_man_girl_girl people & body	6.0
👩‍👦	family: woman, boy	family: woman, boy family woman family_woman_boy people & body	6.0
👩‍👦‍👦	family: woman, boy, boy	family: woman, boy, boy family woman family_woman_boy_boy people & body	6.0
👩‍👧	family: woman, girl	family: woman, girl family woman family_woman_girl people & body	6.0
👩‍👧‍👦	family: woman, girl, boy	family: woman, girl, boy family woman girl family_woman_girl_boy people & body	6.0
👩‍👧‍👧	family: woman, girl, girl	family: woman, girl, girl family woman family_woman_girl_girl people & body	6.0
🗣️	speaking head	speaking head speaking_head people & body	7.0
👤	bust in silhouette	bust in silhouette bust_in_silhouette user people & body	6.0
👥	busts in silhouette	busts in silhouette busts_in_silhouette users group team people & body	6.0
🫂	people hugging	people hugging people_hugging & body	13.0
👣	footprints	footprints feet tracks people & body	6.0
🐵	monkey face	monkey face monkey_face animals & nature	6.0
🐒	monkey	monkey animals & nature	6.0
🦍	gorilla	gorilla animals & nature	9.0
🦧	orangutan	orangutan animals & nature	12.0
🐶	dog face	dog face pet animals & nature	6.0
🐕	dog	dog dog2 animals & nature	6.0
🦮	guide dog	guide dog guide_dog animals & nature	12.0
🐕‍🦺	service dog	service dog service_dog animals & nature	12.0
🐩	poodle	poodle dog animals & nature	6.0
🐺	wolf	wolf animals & nature	6.0
🦊	fox	fox face fox_face animals & nature	9.0
🦝	raccoon	raccoon animals & nature	11.0
🐱	cat face	cat face pet animals & nature	6.0
🐈	cat	cat cat2 animals & nature	6.0
🐈‍⬛	black cat	black cat black_cat animals & nature	13.0
🦁	lion	lion animals & nature	8.0
🐯	tiger face	tiger face animals & nature	6.0
🐅	tiger	tiger tiger2 animals & nature	6.0
🐆	leopard	leopard animals & nature	6.0
🐴	horse face	horse face animals & nature	6.0
🫎	moose	moose canada animals & nature	15.0
🫏	donkey	donkey mule animals & nature	15.0
🐎	horse	horse racehorse speed animals & nature	6.0
🦄	unicorn	unicorn animals & nature	8.0
🦓	zebra	zebra animals & nature	11.0
🦌	deer	deer animals & nature	9.0
🦬	bison	bison animals & nature	13.0
🐮	cow face	cow face animals & nature	6.0
🐂	ox	ox animals & nature	6.0
🐃	water buffalo	water buffalo water_buffalo animals & nature	6.0
🐄	cow	cow cow2 animals & nature	6.0
🐷	pig face	pig face animals & nature	6.0
🐖	pig	pig pig2 animals & nature	6.0
🐗	boar	boar animals & nature	6.0
🐽	pig nose	pig nose pig_nose animals & nature	6.0
🐏	ram	ram animals & nature	6.0
🐑	ewe	ewe sheep animals & nature	6.0
🐐	goat	goat animals & nature	6.0
🐪	camel	camel dromedary dromedary_camel desert animals & nature	6.0
🐫	two-hump camel	two hump camel animals & nature	6.0
🦙	llama	llama animals & nature	11.0
🦒	giraffe	giraffe animals & nature	11.0
🐘	elephant	elephant animals & nature	6.0
🦣	mammoth	mammoth animals & nature	13.0
🦏	rhinoceros	rhinoceros animals & nature	9.0
🦛	hippopotamus	hippopotamus animals & nature	11.0
🐭	mouse face	mouse face animals & nature	6.0
🐁	mouse	mouse mouse2 animals & nature	6.0
🐀	rat	rat animals & nature	6.0
🐹	hamster	hamster pet animals & nature	6.0
🐰	rabbit face	rabbit face bunny animals & nature	6.0
🐇	rabbit	rabbit rabbit2 animals & nature	6.0
🐿️	chipmunk	chipmunk animals & nature	7.0
🦫	beaver	beaver animals & nature	13.0
🦔	hedgehog	hedgehog animals & nature	11.0
🦇	bat	bat animals & nature	9.0
🐻	bear	bear animals & nature	6.0
🐻‍❄️	polar bear	polar bear polar_bear animals & nature	13.0
🐨	koala	koala animals & nature	6.0
🐼	panda	panda face panda_face animals & nature	6.0
🦥	sloth	sloth animals & nature	12.0
🦦	otter	otter animals & nature	12.0
🦨	skunk	skunk animals & nature	12.0
🦘	kangaroo	kangaroo animals & nature	11.0
🦡	badger	badger animals & nature	11.0
🐾	paw prints	paw prints feet paw_prints animals & nature	6.0
🦃	turkey	turkey thanksgiving animals & nature	8.0
🐔	chicken	chicken animals & nature	6.0
🐓	rooster	rooster animals & nature	6.0
🐣	hatching chick	hatching chick hatching_chick animals & nature	6.0
🐤	baby chick	baby chick baby_chick animals & nature	6.0
🐥	front-facing baby chick	front facing baby chick hatched hatched_chick animals & nature	6.0
🐦	bird	bird animals & nature	6.0
🐧	penguin	penguin animals & nature	6.0
🕊️	dove	dove peace animals & nature	7.0
🦅	eagle	eagle animals & nature	9.0
🦆	duck	duck animals & nature	9.0
🦢	swan	swan animals & nature	11.0
🦉	owl	owl animals & nature	9.0
🦤	dodo	dodo animals & nature	13.0
🪶	feather	feather animals & nature	13.0
🦩	flamingo	flamingo animals & nature	12.0
🦚	peacock	peacock animals & nature	11.0
🦜	parrot	parrot animals & nature	11.0
🪽	wing	wing fly animals & nature	15.0
🐦‍⬛	black bird	black bird black_bird animals & nature	15.0
🪿	goose	goose honk animals & nature	15.0
🐸	frog	frog animals & nature	6.0
🐊	crocodile	crocodile animals & nature	6.0
🐢	turtle	turtle slow animals & nature	6.0
🦎	lizard	lizard animals & nature	9.0
🐍	snake	snake animals & nature	6.0
🐲	dragon face	dragon face dragon_face animals & nature	6.0
🐉	dragon	dragon animals & nature	6.0
🦕	sauropod	sauropod dinosaur animals & nature	11.0
🦖	T-Rex	t rex t-rex dinosaur animals & nature	11.0
🐳	spouting whale	spouting whale sea animals & nature	6.0
🐋	whale	whale whale2 animals & nature	6.0
🐬	dolphin	dolphin flipper animals & nature	6.0
🦭	seal	seal animals & nature	13.0
🐟	fish	fish animals & nature	6.0
🐠	tropical fish	tropical fish tropical_fish animals & nature	6.0
🐡	blowfish	blowfish animals & nature	6.0
🦈	shark	shark animals & nature	9.0
🐙	octopus	octopus animals & nature	6.0
🐚	spiral shell	spiral shell sea beach animals & nature	6.0
🪸	coral	coral animals & nature	14.0
🪼	jellyfish	jellyfish animals & nature	15.0
🐌	snail	snail slow animals & nature	6.0
🦋	butterfly	butterfly animals & nature	9.0
🐛	bug	bug animals & nature	6.0
🐜	ant	ant animals & nature	6.0
🐝	honeybee	honeybee bee animals & nature	6.0
🪲	beetle	beetle animals & nature	13.0
🐞	lady beetle	lady beetle lady_beetle bug animals & nature	6.0
🦗	cricket	cricket animals & nature	11.0
🪳	cockroach	cockroach animals & nature	13.0
🕷️	spider	spider animals & nature	7.0
🕸️	spider web	spider web spider_web animals & nature	7.0
🦂	scorpion	scorpion animals & nature	8.0
🦟	mosquito	mosquito animals & nature	11.0
🪰	fly	fly animals & nature	13.0
🪱	worm	worm animals & nature	13.0
🦠	microbe	microbe germ animals & nature	11.0
💐	bouquet	bouquet flowers animals & nature	6.0
🌸	cherry blossom	cherry blossom cherry_blossom flower spring animals & nature	6.0
💮	white flower	white flower white_flower animals & nature	6.0
🪷	lotus	lotus animals & nature	14.0
🏵️	rosette	rosette animals & nature	7.0
🌹	rose	rose flower animals & nature	6.0
🥀	wilted flower	wilted flower wilted_flower animals & nature	9.0
🌺	hibiscus	hibiscus animals & nature	6.0
🌻	sunflower	sunflower animals & nature	6.0
🌼	blossom	blossom animals & nature	6.0
🌷	tulip	tulip flower animals & nature	6.0
🪻	hyacinth	hyacinth animals & nature	15.0
🌱	seedling	seedling plant animals & nature	6.0
🪴	potted plant	potted plant potted_plant animals & nature	13.0
🌲	evergreen tree	evergreen tree evergreen_tree wood animals & nature	6.0
🌳	deciduous tree	deciduous tree deciduous_tree wood animals & nature	6.0
🌴	palm tree	palm tree palm_tree animals & nature	6.0
🌵	cactus	cactus animals & nature	6.0
🌾	sheaf of rice	sheaf of rice ear ear_of_rice animals & nature	6.0
🌿	herb	herb animals & nature	6.0
☘️	shamrock	shamrock animals & nature	4.1
🍀	four leaf clover	four leaf clover four_leaf_clover luck animals & nature	6.0
🍁	maple leaf	maple leaf maple_leaf canada animals & nature	6.0
🍂	fallen leaf	fallen leaf fallen_leaf autumn animals & nature	6.0
🍃	leaf fluttering in wind	leaf fluttering in wind leaves animals & nature	6.0
🪹	empty nest	empty nest empty_nest animals & nature	14.0
🪺	nest with eggs	nest with eggs nest_with_eggs animals & nature	14.0
🍄	mushroom	mushroom fungus animals & nature	6.0
🍇	grapes	grapes food & drink	6.0
🍈	melon	melon food & drink	6.0
🍉	watermelon	watermelon food & drink	6.0
🍊	tangerine	tangerine orange mandarin food & drink	6.0
🍋	lemon	lemon food & drink	6.0
🍌	banana	banana fruit food & drink	6.0
🍍	pineapple	pineapple food & drink	6.0
🥭	mango	mango food & drink	11.0
🍎	red apple	red apple food & drink	6.0
🍏	green apple	green apple green_apple fruit food & drink	6.0
🍐	pear	pear food & drink	6.0
🍑	peach	peach food & drink	6.0
🍒	cherries	cherries fruit food & drink	6.0
🍓	strawberry	strawberry fruit food & drink	6.0
🫐	blueberries	blueberries food & drink	13.0
🥝	kiwi fruit	kiwi fruit kiwi_fruit food & drink	9.0
🍅	tomato	tomato food & drink	6.0
🫒	olive	olive food & drink	13.0
🥥	coconut	coconut food & drink	11.0
🥑	avocado	avocado food & drink	9.0
🍆	eggplant	eggplant aubergine food & drink	6.0
🥔	potato	potato food & drink	9.0
🥕	carrot	carrot food & drink	9.0
🌽	ear of corn	ear of corn food & drink	6.0
🌶️	hot pepper	hot pepper hot_pepper spicy food & drink	7.0
🫑	bell pepper	bell pepper bell_pepper food & drink	13.0
🥒	cucumber	cucumber food & drink	9.0
🥬	leafy green	leafy green leafy_green food & drink	11.0
🥦	broccoli	broccoli food & drink	11.0
🧄	garlic	garlic food & drink	12.0
🧅	onion	onion food & drink	12.0
🥜	peanuts	peanuts food & drink	9.0
🫘	beans	beans food & drink	14.0
🌰	chestnut	chestnut food & drink	6.0
🫚	ginger root	ginger root ginger_root food & drink	15.0
🫛	pea pod	pea pod pea_pod food & drink	15.0
🍞	bread	bread toast food & drink	6.0
🥐	croissant	croissant food & drink	9.0
🥖	baguette bread	baguette bread baguette_bread food & drink	9.0
🫓	flatbread	flatbread food & drink	13.0
🥨	pretzel	pretzel food & drink	11.0
🥯	bagel	bagel food & drink	11.0
🥞	pancakes	pancakes food & drink	9.0
🧇	waffle	waffle food & drink	12.0
🧀	cheese wedge	cheese wedge food & drink	8.0
🍖	meat on bone	meat on bone meat_on_bone food & drink	6.0
🍗	poultry leg	poultry leg poultry_leg meat chicken food & drink	6.0
🥩	cut of meat	cut of meat cut_of_meat food & drink	11.0
🥓	bacon	bacon food & drink	9.0
🍔	hamburger	hamburger burger food & drink	6.0
🍟	french fries	french fries food & drink	6.0
🍕	pizza	pizza food & drink	6.0
🌭	hot dog	hot dog hotdog food & drink	8.0
🥪	sandwich	sandwich food & drink	11.0
🌮	taco	taco food & drink	8.0
🌯	burrito	burrito food & drink	8.0
🫔	tamale	tamale food & drink	13.0
🥙	stuffed flatbread	stuffed flatbread stuffed_flatbread food & drink	9.0
🧆	falafel	falafel food & drink	12.0
🥚	egg	egg food & drink	9.0
🍳	cooking	cooking fried egg fried_egg breakfast food & drink	6.0
🥘	shallow pan of food	shallow pan of food shallow_pan_of_food paella curry & drink	0
🍲	pot of food	pot of food stew & drink	6.0
🫕	fondue	fondue food & drink	13.0
🥣	bowl with spoon	bowl with spoon bowl_with_spoon food & drink	11.0
🥗	green salad	green salad green_salad food & drink	9.0
🍿	popcorn	popcorn food & drink	8.0
🧈	butter	butter food & drink	12.0
🧂	salt	salt food & drink	11.0
🥫	canned food	canned food canned_food & drink	11.0
🍱	bento box	bento box food & drink	6.0
🍘	rice cracker	rice cracker rice_cracker food & drink	6.0
🍙	rice ball	rice ball rice_ball food & drink	6.0
🍚	cooked rice	cooked rice food & drink	6.0
🍛	curry rice	curry rice food & drink	6.0
🍜	steaming bowl	steaming bowl ramen noodle food & drink	6.0
🍝	spaghetti	spaghetti pasta food & drink	6.0
🍠	roasted sweet potato	roasted sweet potato sweet_potato food & drink	6.0
🍢	oden	oden food & drink	6.0
🍣	sushi	sushi food & drink	6.0
🍤	fried shrimp	fried shrimp fried_shrimp tempura food & drink	6.0
🍥	fish cake with swirl	fish cake with swirl fish_cake food & drink	6.0
🥮	moon cake	moon cake moon_cake food & drink	11.0
🍡	dango	dango food & drink	6.0
🥟	dumpling	dumpling food & drink	11.0
🥠	fortune cookie	fortune cookie fortune_cookie food & drink	11.0
🥡	takeout box	takeout box takeout_box food & drink	11.0
🦀	crab	crab food & drink	8.0
🦞	lobster	lobster food & drink	11.0
🦐	shrimp	shrimp food & drink	9.0
🦑	squid	squid food & drink	9.0
🦪	oyster	oyster food & drink	12.0
🍦	soft ice cream	soft ice cream icecream food & drink	6.0
🍧	shaved ice	shaved ice shaved_ice food & drink	6.0
🍨	ice cream	ice cream ice_cream food & drink	6.0
🍩	doughnut	doughnut food & drink	6.0
🍪	cookie	cookie food & drink	6.0
🎂	birthday cake	birthday cake party food & drink	6.0
🍰	shortcake	shortcake cake dessert food & drink	6.0
🧁	cupcake	cupcake food & drink	11.0
🥧	pie	pie food & drink	11.0
🍫	chocolate bar	chocolate bar chocolate_bar food & drink	6.0
🍬	candy	candy sweet food & drink	6.0
🍭	lollipop	lollipop food & drink	6.0
🍮	custard	custard food & drink	6.0
🍯	honey pot	honey pot honey_pot food & drink	6.0
🍼	baby bottle	baby bottle baby_bottle milk food & drink	6.0
🥛	glass of milk	glass of milk milk_glass food & drink	9.0
☕	hot beverage	hot beverage coffee cafe espresso food & drink	4.0
🫖	teapot	teapot food & drink	13.0
🍵	teacup without handle	teacup without handle tea green breakfast food & drink	6.0
🍶	sake	sake food & drink	6.0
🍾	bottle with popping cork	bottle with popping cork champagne bubbly celebration food & drink	8.0
🍷	wine glass	wine glass wine_glass food & drink	6.0
🍸	cocktail glass	cocktail glass drink food &	6.0
🍹	tropical drink	tropical drink tropical_drink summer vacation food &	6.0
🍺	beer mug	beer mug drink food &	6.0
🍻	clinking beer mugs	clinking beer mugs beers drinks food & drink	6.0
🥂	clinking glasses	clinking glasses clinking_glasses cheers toast food & drink	9.0
🥃	tumbler glass	tumbler glass tumbler_glass whisky food & drink	9.0
🫗	pouring liquid	pouring liquid pouring_liquid food & drink	14.0
🥤	cup with straw	cup with straw cup_with_straw food & drink	11.0
🧋	bubble tea	bubble tea bubble_tea food & drink	13.0
🧃	beverage box	beverage box beverage_box food & drink	12.0
🧉	mate	mate food & drink	12.0
🧊	ice	ice cube ice_cube food & drink	12.0
🥢	chopsticks	chopsticks food & drink	11.0
🍽️	fork and knife with plate	fork and knife with plate cutlery plate_with_cutlery dining dinner food & drink	7.0
🍴	fork and knife	fork and knife fork_and_knife cutlery food & drink	6.0
🥄	spoon	spoon food & drink	9.0
🔪	kitchen knife	kitchen knife hocho cut chop food & drink	6.0
🫙	jar	jar food & drink	14.0
🏺	amphora	amphora food & drink	8.0
🌍	globe showing Europe-Africa	globe showing europe africa earth earth_africa world international travel & places	6.0
🌎	globe showing Americas	globe showing americas earth earth_americas world international travel & places	6.0
🌏	globe showing Asia-Australia	globe showing asia australia earth earth_asia world international travel & places	6.0
🌐	globe with meridians	globe with meridians globe_with_meridians world global international travel & places	6.0
🗺️	world map	world map world_map travel & places	7.0
🗾	map of Japan	map of japan travel & places	6.0
🧭	compass	compass travel & places	11.0
🏔️	snow-capped mountain	snow capped mountain mountain_snow travel & places	7.0
⛰️	mountain	mountain travel & places	5.2
🌋	volcano	volcano travel & places	6.0
🗻	mount fuji	mount fuji mount_fuji travel & places	6.0
🏕️	camping	camping travel & places	7.0
🏖️	beach with umbrella	beach with umbrella beach_umbrella travel & places	7.0
🏜️	desert	desert travel & places	7.0
🏝️	desert island	desert island desert_island travel & places	7.0
🏞️	national park	national park national_park travel & places	7.0
🏟️	stadium	stadium travel & places	7.0
🏛️	classical building	classical building classical_building travel & places	7.0
🏗️	building construction	building construction building_construction travel & places	7.0
🧱	brick	brick bricks travel & places	11.0
🪨	rock	rock travel & places	13.0
🪵	wood	wood travel & places	13.0
🛖	hut	hut travel & places	13.0
🏘️	houses	houses travel & places	7.0
🏚️	derelict house	derelict house derelict_house travel & places	7.0
🏠	house	house travel & places	6.0
🏡	house with garden	house with garden house_with_garden travel & places	6.0
🏢	office building	office building travel & places	6.0
🏣	Japanese post office	japanese post office post_office travel & places	6.0
🏤	post office	post office european european_post_office travel & places	6.0
🏥	hospital	hospital travel & places	6.0
🏦	bank	bank travel & places	6.0
🏨	hotel	hotel travel & places	6.0
🏩	love hotel	love hotel love_hotel travel & places	6.0
🏪	convenience store	convenience store convenience_store travel & places	6.0
🏫	school	school travel & places	6.0
🏬	department store	department store department_store travel & places	6.0
🏭	factory	factory travel & places	6.0
🏯	Japanese castle	japanese castle japanese_castle travel & places	6.0
🏰	castle	castle european european_castle travel & places	6.0
💒	wedding	wedding marriage travel & places	6.0
🗼	Tokyo tower	tokyo tower tokyo_tower travel & places	6.0
🗽	Statue of Liberty	statue of liberty statue_of_liberty travel & places	6.0
⛪	church	church travel & places	5.2
🕌	mosque	mosque travel & places	8.0
🛕	hindu temple	hindu temple hindu_temple travel & places	12.0
🕍	synagogue	synagogue travel & places	8.0
⛩️	shinto shrine	shinto shrine shinto_shrine travel & places	5.2
🕋	kaaba	kaaba travel & places	8.0
⛲	fountain	fountain travel & places	5.2
⛺	tent	tent camping travel & places	5.2
🌁	foggy	foggy karl travel & places	6.0
🌃	night with stars	night with stars night_with_stars travel & places	6.0
🏙️	cityscape	cityscape skyline travel & places	7.0
🌄	sunrise over mountains	sunrise over mountains sunrise_over_mountains travel & places	6.0
🌅	sunrise	sunrise travel & places	6.0
🌆	cityscape at dusk	cityscape at dusk city sunset city_sunset travel & places	6.0
🌇	sunset	sunset city sunrise city_sunrise travel & places	6.0
🌉	bridge at night	bridge at night bridge_at_night travel & places	6.0
♨️	hot springs	hot springs hotsprings travel & places	0
🎠	carousel horse	carousel horse carousel_horse travel & places	6.0
🛝	playground slide	playground slide playground_slide travel & places	14.0
🎡	ferris wheel	ferris wheel ferris_wheel travel & places	6.0
🎢	roller coaster	roller coaster roller_coaster travel & places	6.0
💈	barber pole	barber pole travel & places	6.0
🎪	circus tent	circus tent circus_tent travel & places	6.0
🚂	locomotive	locomotive steam steam_locomotive train travel & places	6.0
🚃	railway car	railway car railway_car travel & places	6.0
🚄	high-speed train	high speed train bullettrain side bullettrain_side travel & places	6.0
🚅	bullet train	bullet train bullettrain front bullettrain_front travel & places	6.0
🚆	train	train train2 travel & places	6.0
🚇	metro	metro travel & places	6.0
🚈	light rail	light rail light_rail travel & places	6.0
🚉	station	station travel & places	6.0
🚊	tram	tram travel & places	6.0
🚝	monorail	monorail travel & places	6.0
🚞	mountain railway	mountain railway mountain_railway travel & places	6.0
🚋	tram car	tram car train travel & places	6.0
🚌	bus	bus travel & places	6.0
🚍	oncoming bus	oncoming bus oncoming_bus travel & places	6.0
🚎	trolleybus	trolleybus travel & places	6.0
🚐	minibus	minibus travel & places	6.0
🚑	ambulance	ambulance travel & places	6.0
🚒	fire engine	fire engine fire_engine travel & places	6.0
🚓	police car	police car police_car travel & places	6.0
🚔	oncoming police car	oncoming police car oncoming_police_car travel & places	6.0
🚕	taxi	taxi travel & places	6.0
🚖	oncoming taxi	oncoming taxi oncoming_taxi travel & places	6.0
🚗	automobile	automobile car red red_car travel & places	6.0
🚘	oncoming automobile	oncoming automobile oncoming_automobile travel & places	6.0
🚙	sport utility vehicle	sport utility vehicle blue car blue_car travel & places	6.0
🛻	pickup truck	pickup truck pickup_truck travel & places	13.0
🚚	delivery truck	delivery truck travel & places	6.0
🚛	articulated lorry	articulated lorry articulated_lorry travel & places	6.0
🚜	tractor	tractor travel & places	6.0
🏎️	racing car	racing car racing_car travel & places	7.0
🏍️	motorcycle	motorcycle travel & places	7.0
🛵	motor scooter	motor scooter motor_scooter travel & places	9.0
🦽	manual wheelchair	manual wheelchair manual_wheelchair travel & places	12.0
🦼	motorized wheelchair	motorized wheelchair motorized_wheelchair travel & places	12.0
🛺	auto rickshaw	auto rickshaw auto_rickshaw travel & places	12.0
🚲	bicycle	bicycle bike travel & places	6.0
🛴	kick scooter	kick scooter kick_scooter travel & places	9.0
🛹	skateboard	skateboard travel & places	11.0
🛼	roller skate	roller skate roller_skate travel & places	13.0
🚏	bus stop	bus stop busstop travel & places	6.0
🛣️	motorway	motorway travel & places	7.0
🛤️	railway track	railway track railway_track travel & places	7.0
🛢️	oil drum	oil drum oil_drum travel & places	7.0
⛽	fuel pump	fuel pump fuelpump travel & places	5.2
🛞	wheel	wheel travel & places	14.0
🚨	police car light	police car light rotating rotating_light 911 emergency travel & places	6.0
🚥	horizontal traffic light	horizontal traffic light traffic_light travel & places	6.0
🚦	vertical traffic light	vertical traffic light vertical_traffic_light semaphore travel & places	6.0
🛑	stop sign	stop sign stop_sign travel & places	9.0
🚧	construction	construction wip travel & places	6.0
⚓	anchor	anchor ship travel & places	4.1
🛟	ring buoy	ring buoy ring_buoy life preserver travel & places	14.0
⛵	sailboat	sailboat boat travel & places	5.2
🛶	canoe	canoe travel & places	9.0
🚤	speedboat	speedboat ship travel & places	6.0
🛳️	passenger ship	passenger ship passenger_ship cruise travel & places	7.0
