🙁	slightly frowning face	slightly frowning face slightly_frowning_face smileys & emotion	7.0
☹️	frowning face	frowning face frowning_face smileys & emotion	0
😮	face with open mouth	face with open mouth open_mouth surprise impressed wow smileys & emotion	6.1
😯	hushed face	hushed face silence speechless smileys & emotion	6.1
😲	astonished face	astonished face amazed gasp smileys & emotion	6.0
😳	flushed face	flushed face smileys & emotion	6.0
🥺	pleading face	pleading face pleading_face puppy eyes smileys & emotion	11.0
🥹	face holding back tears	face holding back tears face_holding_back_tears gratitude smileys & emotion	14.0
😦	frowning face with open mouth	frowning face with open mouth smileys & emotion	6.1
😧	anguished face	anguished face stunned smileys & emotion	6.1
😨	fearful face	fearful face scared shocked oops smileys & emotion	6.0
😰	anxious face with sweat	anxious face with sweat cold cold_sweat nervous smileys & emotion	6.0
😥	sad but relieved face	sad but relieved face disappointed disappointed_relieved phew sweat nervous smileys & emotion	6.0
😢	crying face	crying face cry sad tear smileys & emotion	6.0
😭	loudly crying face	loudly crying face sob sad cry bawling smileys & emotion	6.0
😱	face screaming in fear	face screaming in fear scream horror shocked smileys & emotion	6.0
😖	confounded face	confounded face smileys & emotion	6.0
😣	persevering face	persevering face persevere struggling smileys & emotion	6.0
😞	disappointed face	disappointed face sad smileys & emotion	6.0
😓	downcast face with sweat	downcast face with sweat smileys & emotion	6.0
😩	weary face	weary face tired smileys & emotion	6.0
😫	tired face	tired face tired_face upset whine smileys & emotion	6.0
🥱	yawning face	yawning face yawning_face smileys & emotion	12.0
😤	face with steam from nose	face with steam from nose triumph smug smileys & emotion	6.0
😡	enraged face	enraged face rage pout angry smileys & emotion	6.0
😠	angry face	angry face mad annoyed smileys & emotion	6.0
🤬	face with symbols on mouth	face with symbols on mouth cursing cursing_face foul smileys & emotion	11.0
😈	smiling face with horns	smiling face with horns imp smiling_imp devil evil smileys & emotion	6.0
👿	angry face with horns	angry face with horns imp devil evil smileys & emotion	6.0
💀	skull	skull dead danger poison smileys & emotion	6.0
☠️	skull and crossbones	skull and crossbones skull_and_crossbones danger pirate smileys & emotion	0
💩	pile of poo	pile of poo hankey poop shit crap smileys & emotion	6.0
🤡	clown face	clown face clown_face smileys & emotion	9.0
👹	ogre	ogre japanese japanese_ogre monster smileys & emotion	6.0
👺	goblin	goblin japanese japanese_goblin smileys & emotion	6.0
👻	ghost	ghost halloween smileys & emotion	6.0
👽	alien	alien ufo smileys & emotion	6.0
👾	alien monster	alien monster space invader space_invader game retro smileys & emotion	6.0
🤖	robot	robot smileys & emotion	8.0
😺	grinning cat	grinning cat smiley smiley_cat smileys & emotion	6.0
😸	grinning cat with smiling eyes	grinning cat with smiling eyes smile smile_cat smileys & emotion	6.0
😹	cat with tears of joy	cat with tears of joy joy_cat smileys & emotion	6.0
😻	smiling cat with heart-eyes	smiling cat with heart eyes heart_eyes_cat smileys & emotion	6.0
😼	cat with wry smile	cat with wry smile smirk smirk_cat smileys & emotion	6.0
😽	kissing cat	kissing cat kissing_cat smileys & emotion	6.0
🙀	weary cat	weary cat scream scream_cat horror smileys & emotion	6.0
😿	crying cat	crying cat face crying_cat_face sad tear smileys & emotion	6.0
😾	pouting cat	pouting cat pouting_cat smileys & emotion	6.0
🙈	see-no-evil monkey	see no evil monkey see_no_evil blind ignore smileys & emotion	6.0
🙉	hear-no-evil monkey	hear no evil monkey hear_no_evil deaf smileys & emotion	6.0
🙊	speak-no-evil monkey	speak no evil monkey speak_no_evil mute hush smileys & emotion	6.0
💌	love letter	love letter love_letter email envelope smileys & emotion	6.0
💘	heart with arrow	heart with arrow cupid love smileys & emotion	6.0
💝	heart with ribbon	heart with ribbon gift gift_heart chocolates smileys & emotion	6.0
💖	sparkling heart	sparkling heart sparkling_heart smileys & emotion	6.0
💗	growing heart	growing heart heartpulse smileys & emotion	6.0
💓	beating heart	beating heart heartbeat smileys & emotion	6.0
💞	revolving hearts	revolving hearts revolving_hearts smileys & emotion	6.0
💕	two hearts	two hearts two_hearts smileys & emotion	6.0
💟	heart decoration	heart decoration heart_decoration smileys & emotion	6.0
❣️	heart exclamation	heart exclamation heavy heavy_heart_exclamation smileys & emotion	0
💔	broken heart	broken heart broken_heart smileys & emotion	6.0
❤️‍🔥	heart on fire	heart on fire heart_on_fire smileys & emotion	13.1
❤️‍🩹	mending heart	mending heart mending_heart smileys & emotion	13.1
❤️	red heart	red heart love smileys & emotion	0
🩷	pink heart	pink heart pink_heart smileys & emotion	15.0
🧡	orange heart	orange heart orange_heart smileys & emotion	11.0
💛	yellow heart	yellow heart yellow_heart smileys & emotion	6.0
💚	green heart	green heart green_heart smileys & emotion	6.0
💙	blue heart	blue heart blue_heart smileys & emotion	6.0
🩵	light blue heart	light blue heart light_blue_heart smileys & emotion	15.0
💜	purple heart	purple heart purple_heart smileys & emotion	6.0
🤎	brown heart	brown heart brown_heart smileys & emotion	12.0
🖤	black heart	black heart black_heart smileys & emotion	9.0
🩶	grey heart	grey heart grey_heart smileys & emotion	15.0
🤍	white heart	white heart white_heart smileys & emotion	12.0
💋	kiss mark	kiss mark lipstick smileys & emotion	6.0
💯	hundred points	hundred points 100 score perfect smileys & emotion	6.0
💢	anger symbol	anger symbol angry smileys & emotion	6.0
💥	collision	collision boom explode smileys & emotion	6.0
💫	dizzy	dizzy star smileys & emotion	6.0
💦	sweat droplets	sweat droplets drops sweat_drops water workout smileys & emotion	6.0
💨	dashing away	dashing away dash wind blow fast smileys & emotion	6.0
🕳️	hole	hole smileys & emotion	7.0
💬	speech balloon	speech balloon speech_balloon comment smileys & emotion	6.0
👁️‍🗨️	eye in speech bubble	eye in speech bubble eye_speech_bubble smileys & emotion	11.0
🗨️	left speech bubble	left speech bubble left_speech_bubble smileys & emotion	11.0
🗯️	right anger bubble	right anger bubble right_anger_bubble smileys & emotion	7.0
💭	thought balloon	thought balloon thought_balloon thinking smileys & emotion	6.0
💤	ZZZ	zzz sleeping smileys & emotion	6.0
👋	waving hand	waving hand wave goodbye people & body	6.0
🤚	raised back of hand	raised back of hand raised_back_of_hand people & body	9.0
🖐️	hand with fingers splayed	hand with fingers splayed raised raised_hand_with_fingers_splayed people & body	7.0
✋	raised hand	raised hand raised_hand highfive stop people & body	6.0
🖖	vulcan salute	vulcan salute vulcan_salute prosper spock people & body	7.0
🫱	rightwards hand	rightwards hand rightwards_hand people & body	14.0
🫲	leftwards hand	leftwards hand leftwards_hand people & body	14.0
🫳	palm down hand	palm down hand palm_down_hand people & body	14.0
🫴	palm up hand	palm up hand palm_up_hand people & body	14.0
🫷	leftwards pushing hand	leftwards pushing hand leftwards_pushing_hand people & body	15.0
🫸	rightwards pushing hand	rightwards pushing hand rightwards_pushing_hand people & body	15.0
👌	OK hand	ok hand ok_hand people & body	6.0
🤌	pinched fingers	pinched fingers pinched_fingers people & body	13.0
🤏	pinching hand	pinching hand pinching_hand people & body	12.0
✌️	victory hand	victory hand v peace people & body	0
